Date,Action,Wallet,Amount,TxHash
2026-03-13T14:44:27.000Z,mintEvent,3TDaoKujSXs9mELX2RZPyyCcuip9gmXR9X8jVdm8PqjF,1000,3pv9CxYdxTKXs4HT6NEn8wvRwgJVX1STpanFL9o1sBgo6bP6FmXBXrTKdnK7pPqd52HginLvwf38Eag7NPgZ7Brs
2026-03-13T14:44:25.000Z,stablecoinInitializedEvent,N/A,N/A,5FH3mziTXtwJFWx5YDzxWdJTjRkc9HEEP9Ag25U6G6YtJTuCB8G3AQ4XBFjidWCn7X4s3TzurrxpZWsGKW6wJNHB
